,Col0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
144806,236224,CSN455,CZ455,780654,B-2081,B77L,KLAX,EHAM,2020-04-23 03:17:10+00:00,2020-04-24 08:41:56+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
144923,236446,GTI45,5Y45,abc96f,N859GT,B748,SAEZ,SBKP,2020-04-23 04:08:24+00:00,2020-04-24 02:04:10+00:00,20200424,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,
145120,236925,AFR6902,AF6902,3965a5,F-GZNF,B77W,LFPG,LFPG,2020-04-23 06:33:36+00:00,2020-04-24 10:18:48+00:00,20200424,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
145303,237271,UPS32,5X32,a782dd,N583UP,B744,KSDF,YSSY,2020-04-23 08:10:56+00:00,2020-04-24 04:49:34+00:00,20200424,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
145364,237382,QFA129,QF129,7c531e,VH-QPC,A333,YSSY,YSSY,2020-04-23 08:31:22+00:00,2020-04-24 08:18:30+00:00,20200424,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
145433,237522,CSN461,CZ461,780daa,B-2028,B77L,KLAX,EDDF,2020-04-23 08:54:53+00:00,2020-04-24 15:54:20+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
145671,238012,CAL5167,CI5167,899107,B-18721,B744,KLAX,RCTP,2020-04-23 10:14:12+00:00,2020-04-24 00:21:55+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,
145680,238034,QTR860,QR860,06a031,A7-AEA,A333,OTHH,OTHH,2020-04-23 10:17:36+00:00,2020-04-24 02:32:55+00:00,20200424,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
145761,238185,CLX6604,CV6604,4d0103,LX-VCA,B748,ELLX,KLAX,2020-04-23 10:41:40+00:00,2020-04-24 03:47:27+00:00,20200424,Luxembourg-Findel International Airport,49.6233333,6.204444400000001,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
145770,238206,DLH727,LH727,3c6701,D-AIXA,A359,RKSI,EDDM,2020-04-23 10:45:34+00:00,2020-04-24 03:06:34+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,
145787,9782,GEC8400,LH8400,3c70c7,D-ALFG,B77L,EDDF,RKSI,2020-04-23 10:49:59+00:00,2020-04-24 02:22:58+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
145802,238255,UAE407,EK407,89611e,A6-ECW,B77W,YMML,OMDB,2020-04-23 10:54:48+00:00,2020-04-24 00:17:29+00:00,20200424,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
145816,238276,CKK215,CK215,7805dc,B-2076,B77L,VTBS,LKPR,2020-04-23 10:58:36+00:00,2020-04-24 13:47:34+00:00,20200424,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,V谩clav Havel Airport Prague,50.1008,14.26,1247.0,EU,CZ,CZ-PR,Prague,LKPR,PRG,
145901,238423,KAL270,KE270,71c076,HL8076,B77L,KJFK,RKSI,2020-04-23 11:19:35+00:00,2020-04-24 01:43:58+00:00,20200424,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
146010,238611,AFR276,AF276,394a03,F-GSQD,B77W,LFPG,LFPG,2020-04-23 11:50:17+00:00,2020-04-24 13:09:11+00:00,20200424,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
146132,238817,KLM898,KL898,4840e0,PH-BFV,B744,RKSI,EHAM,2020-04-23 12:18:09+00:00,2020-04-24 01:44:32+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
146141,238833,MPH8142,MP8142,4841c5,PH-CKC,B744,FAOR,EHAM,2020-04-23 12:20:11+00:00,2020-04-24 03:53:11+00:00,20200424,OR Tambo International Airport,-26.1392,28.246,5558.0,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
146618,239588,UAL2773,UA2773,a2e014,N2846U,,VHHH,KLAX,2020-04-23 13:47:57+00:00,2020-04-24 01:37:59+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
146695,239710,GTI5219,5Y5219,a4eb80,N416MC,B744,EHAM,VHHH,2020-04-23 14:00:53+00:00,2020-04-24 01:47:07+00:00,20200424,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
146733,163,VIR206,VS206,4072ea,G-VWOO,B789,EGLL,VHHH,2020-04-23 14:05:45+00:00,2020-04-24 01:18:59+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
146761,239809,AFL1743,SU1743,42429b,VP-BDE,A333,UUEE,UUEE,2020-04-23 14:09:26+00:00,2020-04-24 09:23:57+00:00,20200424,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
146930,240065,KLM867,KL867,485342,PH-BHH,B789,EHAM,RJBB,2020-04-23 14:45:47+00:00,2020-04-24 01:27:22+00:00,20200424,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
146933,2902,AFL1711,SU1711,424480,VQ-BFL,B77W,UUEE,UUEE,2020-04-23 14:46:24+00:00,2020-04-24 07:27:28+00:00,20200424,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
146937,240073,THY71,TK71,4ba94c,TC-JJL,B77W,VHHH,LTBA,2020-04-23 14:46:52+00:00,2020-04-24 01:40:29+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Atat眉rk International Airport,40.976898,28.8146,163.0,AS,TR,TR-34,Istanbul,LTBA,ISL,
146949,17908,GFA155,GF155,89408f,A9C-FE,B789,RPLL,OBBI,2020-04-23 14:51:18+00:00,2020-04-24 00:22:28+00:00,20200424,Ninoy Aquino International Airport,14.5086,121.019997,75.0,AS,PH,PH-U-A,Manila,RPLL,MNL,,Bahrain International Airport,26.27079963684082,50.63359832763672,6.0,AS,BH,BH-15,Manama,OBBI,BAH,
146955,240106,BAW193,BA193,405bfb,G-YMMR,B772,EGLL,KDFW,2020-04-23 14:53:37+00:00,2020-04-24 00:29:59+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW
146957,240110,CKS822,K4822,a9f67d,N741CK,B744,PANC,VHHH,2020-04-23 14:54:50+00:00,2020-04-24 01:12:54+00:00,20200424,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
146969,16534,KLM166,KL166,485788,PH-BHP,B789,EHAM,KATL,2020-04-23 14:56:40+00:00,2020-04-24 00:03:16+00:00,20200424,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
147111,8450,BAW227,BA227,40749a,G-ZBKS,B789,EGLL,KATL,2020-04-23 15:27:33+00:00,2020-04-24 00:12:21+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
147187,240442,SIA322,SQ322,76cdb3,9V-SMS,A359,WSSS,EGLL,2020-04-23 15:40:06+00:00,2020-04-24 04:55:29+00:00,20200424,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
147197,240454,AFR6904,AF6904,394a00,F-GSQA,B77W,LFPG,KATL,2020-04-23 15:41:11+00:00,2020-04-24 00:55:22+00:00,20200424,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
147236,240512,UAE323,EK323,89611c,A6-ECU,B77W,RKSI,OMDB,2020-04-23 15:48:29+00:00,2020-04-24 00:57:56+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
147254,240541,VIR207,VS207,406c3a,G-VYUM,B789,VHHH,EGLL,2020-04-23 15:51:51+00:00,2020-04-24 04:01:33+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
147314,240630,QFA7558,QF7558,abbe4a,N856GT,B748,KLAX,YSSY,2020-04-23 16:01:05+00:00,2020-04-24 08:12:16+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
147346,240676,GEC8186,LH8186,3c706b,D-ALCK,MD11,EDDF,KORD,2020-04-23 16:07:43+00:00,2020-04-24 00:52:52+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
147365,240702,CKS243,K4243,a983b7,N712CK,,EDDP,KCVG,2020-04-23 16:11:20+00:00,2020-04-24 00:50:42+00:00,20200424,Leipzig/Halle Airport,51.423889,12.236388999999999,465.0,EU,DE,DE-SN,Leipzig,EDDP,LEJ,,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896.0,,US,US-KY,Cincinnati,KCVG,CVG,CVG
147371,240709,CKS259,K4259,aa70b1,N772CK,,KLAX,YSSY,2020-04-23 16:12:23+00:00,2020-04-24 06:02:35+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
147377,240715,CPA238,CX238,780ab6,B-LRK,A359,EGLL,VHHH,2020-04-23 16:13:21+00:00,2020-04-24 03:06:22+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147389,240728,AZA681,AZ681,4ca1e0,EI-DBL,B772,SAEZ,LIRF,2020-04-23 16:15:27+00:00,2020-04-24 04:06:55+00:00,20200424,Ministro Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,Leonardo da Vinci鈥揊iumicino Airport,41.800277799999996,12.238888900000001,13.0,EU,IT,IT-62,Rome,LIRF,FCO,RM11
147390,240729,QTR859,QR859,06a2af,A7-BEK,B77W,RKSI,OTHH,2020-04-23 16:15:34+00:00,2020-04-24 01:47:29+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
147392,19236,CPA101,CX101,789215,B-LXC,A35K,VHHH,YSSY,2020-04-23 16:15:55+00:00,2020-04-24 00:37:17+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
147398,240741,DAL1239,DL1239,a46e40,N385DZ,,KDTW,KATL,2020-04-23 16:16:48+00:00,2020-04-24 00:24:09+00:00,20200424,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,KDTW,DTW,DTW,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
147400,240744,CPA261,CX261,780220,B-KPI,B77W,VHHH,LFPG,2020-04-23 16:17:19+00:00,2020-04-24 04:37:05+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
147408,240754,DLH773,LH773,3c64f8,D-AIGX,A343,VTBS,EDDF,2020-04-23 16:18:23+00:00,2020-04-24 04:09:27+00:00,20200424,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
147434,20703,CPA880,CX880,78922f,B-LXI,A35K,VHHH,KLAX,2020-04-23 16:24:28+00:00,2020-04-24 04:00:50+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
147443,240807,KLM591,KL591,485000,PH-BVK,B77W,EHAM,FAGM,2020-04-23 16:26:09+00:00,2020-04-24 02:42:47+00:00,20200424,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Rand Airport,-26.2425003052,28.151199340799998,5483.0,AF,ZA,ZA-GT,Johannesburg,FAGM,QRA,
147460,240832,AFL212,SU212,4243de,VQ-BUB,B77W,UUEE,VHHH,2020-04-23 16:29:33+00:00,2020-04-24 01:15:13+00:00,20200424,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147525,240929,UPS104,5X104,a3d1b1,N345UP,B763,PANC,RJBB,2020-04-23 16:42:36+00:00,2020-04-24 00:38:18+00:00,20200424,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Kansai International Airport,34.42729949951172,135.24400329589844,26.0,AS,JP,JP-27,Osaka,RJBB,KIX,
147584,241024,DAL3335,DL3335,a65800,N508DN,,KDTW,RKSI,2020-04-23 16:59:41+00:00,2020-04-24 07:15:05+00:00,20200424,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,KDTW,DTW,DTW,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
147597,20259,CPA250,CX250,789230,B-LXJ,A35K,EGLL,VHHH,2020-04-23 17:01:33+00:00,2020-04-24 03:59:46+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147608,241056,CPA289,CX289,780ab7,B-LRL,A359,VHHH,EDDF,2020-04-23 17:03:28+00:00,2020-04-24 04:42:02+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
147649,241112,ETD901,EY901,8962e7,A6-DDA,B77L,EDDF,KORD,2020-04-23 17:11:39+00:00,2020-04-24 02:01:58+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
147665,241142,UAL2852,UA2852,a1c7e4,N2136U,B77W,KLAX,VHHH,2020-04-23 17:17:34+00:00,2020-04-24 08:47:54+00:00,20200424,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147693,330,GEC8174,LH8174,3c70c6,D-ALFF,B77L,EDDF,KATL,2020-04-23 17:22:58+00:00,2020-04-24 02:58:41+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL
147704,241205,GEC8385,LH8385,3c70c1,D-ALFA,B77L,RKSI,EDDF,2020-04-23 17:26:18+00:00,2020-04-24 04:29:28+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
147707,241210,AFR6906,AF6906,394a14,F-GSQU,B77W,LFPG,KORD,2020-04-23 17:27:03+00:00,2020-04-24 01:43:19+00:00,20200424,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
147713,241217,UPS9734,5X9734,a5a2d9,N462UP,B752,SKBO,OH50,2020-04-23 17:28:34+00:00,2020-04-24 02:07:59+00:00,20200424,El Dorado International Airport,4.70159,-74.1469,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,Lindsey L.S. Airport,39.687599182128906,-83.0969009399414,780.0,,US,US-OH,Circleville,OH50,,OH50
147714,19532,KAL9906,KE9906,71c085,HL8085,B789,EDDF,RKSI,2020-04-23 17:28:49+00:00,2020-04-24 03:40:44+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
147718,442,QTR8157,QR8157,06a1e7,A7-BFJ,B77L,EBLG,SBGR,2020-04-23 17:29:23+00:00,2020-04-24 04:28:42+00:00,20200424,Li猫ge Airport,50.63740158081055,5.443220138549805,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,LGG,,Guarulhos - Governador Andr茅 Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459.0,SA,BR,BR-SP,S茫o Paulo,SBGR,GRU,
147719,241227,UPS64,5X64,a7ff6a,N614UP,,PANC,RKSI,2020-04-23 17:29:47+00:00,2020-04-24 01:50:40+00:00,20200424,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,
147748,241263,QTR815,QR815,06a19f,A7-BED,B77W,VHHH,OTHH,2020-04-23 17:34:36+00:00,2020-04-24 02:24:37+00:00,20200424,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
147756,241271,UPS66,5X66,a80a8f,N617UP,,EDDK,KSDF,2020-04-23 17:36:25+00:00,2020-04-24 02:10:10+00:00,20200424,Cologne Bonn Airport,50.865898132299996,7.1427397728,302.0,EU,DE,DE-NW,Cologne,EDDK,CGN,,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF
147769,241299,SIA346,SQ346,76cee5,9V-SWE,B77W,WSSS,LSZH,2020-04-23 17:40:08+00:00,2020-04-24 06:16:42+00:00,20200424,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,WSSS,SIN,,Z眉rich Airport,47.464698999999996,8.54917,1416.0,EU,CH,CH-ZH,Zurich,LSZH,ZRH,
147802,241350,PAC947,PO947,abb325,N853GT,B748,PANC,VHHH,2020-04-23 17:47:57+00:00,2020-04-24 04:35:53+00:00,20200424,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147827,241397,SIA325,SQ325,76cef1,9V-SWQ,B77W,EDDF,WSAP,2020-04-23 17:54:43+00:00,2020-04-24 05:35:01+00:00,20200424,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,Paya Lebar Air Base,1.360419988632202,103.91000366210938,65.0,AS,SG,SG-04,,WSAP,QPG,
147874,364,QTR8941,QR8941,06a1eb,A7-BFN,B77L,OTHH,OTHH,2020-04-23 18:02:27+00:00,2020-04-24 12:16:11+00:00,20200424,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
147902,241503,UPS71,5X71,a75f15,N574UP,B744,RKSI,PANC,2020-04-23 18:08:11+00:00,2020-04-24 01:11:48+00:00,20200424,Incheon International Airport,37.46910095214844,126.45099639892578,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
147923,241531,UPS62,5X62,a7fbb3,N613UP,,PANC,VHHH,2020-04-23 18:11:25+00:00,2020-04-24 05:04:09+00:00,20200424,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
147941,241561,ABW208,RU208,4240e7,VP-BIM,B744,EHAM,OMDB,2020-04-23 18:15:55+00:00,2020-04-24 00:43:59+00:00,20200424,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Dubai International Airport,25.252799987800003,55.3643989563,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,
147965,241595,BAW217,BA217,4065de,G-STBF,B77W,EGLL,KIAD,2020-04-23 18:20:41+00:00,2020-04-24 01:56:14+00:00,20200424,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,Washington Dulles International Airport,38.94449997,-77.45580292,312.0,,US,US-DC,Washington,KIAD,IAD,IAD
147973,241608,CPA3275,CX3275,780a28,B-LJF,B748,KIAH,PANC,2020-04-23 18:22:55+00:00,2020-04-24 01:05:52+00:00,20200424,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
